iter	Passed	Remaining
0	128	256817
1	184	184809
2	251	167563
3	301	150693
4	347	138701
5	402	133604
6	461	131263
7	509	126910
8	547	121146
9	595	118569
10	645	116703
11	689	114196
12	738	112935
13	788	111923
14	846	112004
15	896	111137
16	958	111807
17	1044	115034
18	1096	114325
19	1142	113131
20	1224	115399
21	1292	116230
22	1348	115935
23	1396	115011
24	1455	114947
25	1505	114284
26	1564	114356
27	1623	114315
28	1674	113832
29	1738	114170
30	1796	114130
31	1844	113453
32	1898	113133
33	1956	113104
34	2017	113242
35	2084	113707
36	2143	113702
37	2202	113703
38	2257	113490
39	2316	113502
40	2369	113196
41	2428	113220
42	2480	112902
43	2537	112811
44	2588	112468
45	2653	112706
46	2712	112717
47	2784	113222
48	2848	113414
49	2912	113601
50	2970	113520
51	3031	113549
52	3092	113623
53	3161	113938
54	3234	114379
55	3310	114935
56	3384	115379
57	3454	115678
58	3525	115969
59	3608	116670
60	3682	117064
61	3744	117049
62	3801	116882
63	3861	116819
64	3954	117730
65	4032	118172
66	4100	118315
67	4158	118155
68	4241	118708
69	4299	118545
70	4357	118395
71	4413	118192
72	4484	118366
73	4551	118453
74	4613	118415
75	4688	118680
76	4752	118692
77	4816	118693
78	4894	119026
79	4970	119286
80	5045	119540
81	5108	119494
82	5168	119378
83	5228	119254
84	5285	119089
85	5344	118938
86	5406	118874
87	5467	118800
88	5526	118658
89	5587	118577
90	5640	118325
91	5701	118237
92	5772	118370
93	5852	118675
94	5911	118541
95	5996	118920
96	6065	118987
97	6131	119001
98	6206	119186
99	6271	119166
100	6333	119088
101	6398	119069
102	6460	118993
103	6518	118830
104	6577	118700
105	6646	118751
106	6710	118726
107	6764	118505
108	6819	118301
109	6876	118154
110	6933	117987
111	6986	117776
112	7040	117578
113	7097	117424
114	7151	117216
115	7206	117039
116	7262	116876
117	7316	116686
118	7370	116499
119	7425	116325
120	7484	116219
121	7538	116045
122	7594	115895
123	7651	115766
124	7709	115639
125	7775	115639
126	7878	116186
127	7939	116109
128	7996	115975
129	8047	115757
130	8095	115504
131	8147	115303
132	8201	115124
133	8251	114904
134	8300	114675
135	8352	114475
136	8403	114270
137	8451	114036
138	8502	113842
139	8552	113623
140	8600	113392
141	8661	113335
142	8709	113107
143	8760	112916
144	8813	112755
145	8862	112546
146	8902	112222
147	8939	111865
148	8976	111513
149	9014	111178
150	9050	110821
151	9085	110458
152	9122	110126
153	9159	109792
154	9199	109500
155	9238	109198
156	9277	108910
157	9333	108811
158	9390	108727
159	9451	108693
160	9516	108695
161	9586	108765
162	9643	108680
163	9713	108742
164	9769	108653
165	9835	108666
166	9901	108677
167	9947	108472
168	10016	108517
169	10081	108526
170	10131	108365
171	10196	108364
172	10262	108374
173	10319	108297
174	10362	108068
175	10423	108021
176	10486	108007
177	10545	107944
178	10601	107848
179	10662	107807
180	10721	107747
181	10769	107575
182	10826	107496
183	10887	107456
184	10949	107418
185	11019	107470
186	11071	107337
187	11127	107249
188	11204	107359
189	11269	107356
190	11329	107307
191	11398	107338
192	11447	107180
193	11486	106929
194	11525	106686
195	11563	106431
196	11600	106167
197	11642	105959
198	11679	105704
199	11717	105456
200	11755	105216
201	11792	104968
202	11836	104780
203	11875	104552
204	11914	104321
205	11954	104109
206	11990	103859
207	12026	103610
208	12063	103379
209	12100	103144
210	12142	102956
211	12187	102785
212	12228	102591
213	12270	102403
214	12310	102201
215	12353	102032
216	12394	101840
217	12434	101645
218	12474	101450
219	12515	101263
220	12554	101058
221	12593	100857
222	12633	100669
223	12670	100461
224	12705	100233
225	12746	100052
226	12784	99855
227	12824	99670
228	12867	99512
229	12906	99322
230	12942	99117
231	12983	98941
232	13021	98751
233	13059	98558
234	13099	98381
235	13136	98188
236	13172	97985
237	13209	97791
238	13251	97640
239	13310	97611
240	13360	97516
241	13426	97535
242	13497	97589
243	13565	97630
244	13628	97624
245	13688	97596
246	13745	97557
247	13811	97571
248	13872	97551
249	13917	97421
250	13961	97282
251	13998	97099
252	14033	96902
253	14071	96725
