,id,bdate,bmonth,dandm
0,177,23,4,"23,4"
1,345,19,10,"19,10"
2,1080,4,7,"4,7"
3,1232,16,6,"16,6"
4,1295,6,6,"6,6"
5,1359,31,12,"31,12"
6,1397,7,9,"7,9"
7,1492,18,8,"18,8"
8,1606,24,4,"24,4"
9,1620,23,11,"23,11"
10,1631,23,6,"23,6"
11,1632,29,3,"29,3"
12,1659,8,1,"8,1"
13,1674,17,6,"17,6"
14,1699,1,7,"1,7"
15,1841,30,3,"30,3"
16,1863,12,5,"12,5"
17,1867,8,4,"8,4"
18,1881,5,4,"5,4"
19,1996,9,2,"9,2"
20,2022,21,7,"21,7"
21,2023,17,4,"17,4"
22,2050,27,4,"27,4"
23,2103,1,5,"1,5"
24,2126,24,5,"24,5"
25,2152,13,7,"13,7"
26,2169,14,10,"14,10"
27,2180,19,9,"19,9"
28,2222,4,9,"4,9"
29,2226,9,7,"9,7"
30,2273,20,4,"20,4"
31,2350,8,8,"8,8"
32,2368,26,3,"26,3"
33,2395,11,8,"11,8"
34,2456,25,10,"25,10"
35,2502,4,3,"4,3"
36,2591,3,8,"3,8"
37,2601,31,5,"31,5"
38,2640,9,1,"9,1"
39,2693,10,5,"10,5"
40,2909,11,5,"11,5"
41,2958,6,8,"6,8"
42,2962,14,6,"14,6"
43,2982,13,10,"13,10"
44,2988,20,5,"20,5"
45,3001,23,6,"23,6"
46,3006,24,11,"24,11"
47,3022,12,7,"12,7"
48,3037,2,8,"2,8"
49,3041,28,12,"28,12"
50,3062,2,7,"2,7"
51,3074,26,9,"26,9"
52,3116,28,11,"28,11"
53,3172,23,10,"23,10"
54,3209,22,6,"22,6"
55,3363,29,11,"29,11"
56,3450,11,12,"11,12"
57,3622,27,7,"27,7"
58,3644,19,6,"19,6"
59,3684,16,10,"16,10"
60,3727,30,5,"30,5"
61,3741,14,10,"14,10"
62,3756,18,10,"18,10"
63,3801,14,2,"14,2"
64,3809,1,6,"1,6"
65,3853,4,9,"4,9"
66,3878,5,4,"5,4"
67,4021,11,9,"11,9"
68,4079,28,10,"28,10"
69,4160,21,8,"21,8"
70,4192,8,6,"8,6"
71,4219,17,5,"17,5"
72,4265,18,2,"18,2"
73,4307,10,10,"10,10"
74,4435,22,3,"22,3"
75,4444,25,1,"25,1"
76,4516,22,4,"22,4"
77,4564,12,12,"12,12"
78,4579,12,9,"12,9"
79,4601,8,5,"8,5"
80,4630,27,7,"27,7"
