Title,Price,Категория
Сырная Мэри,219 ₽,Популярные блюда
Чикен Кинг,149 ₽,Популярные блюда
Воппер с сыром,249 ₽,Популярные блюда
Кинг Букет "Крылышки XXL",599 ₽,Популярные блюда
Горячий брауни,149 ₽,Популярные блюда
Комбо с Воппером Дж.,189 ₽,Комбо
Кинг комбо с картофелем,259 ₽,Комбо
2 Мега-Микса за 599 руб.,599 ₽,Комбо
Комбо на двоих с Воппером,599 ₽,Комбо
Комбо на двоих с Чизбургером,399 ₽,Комбо
Джуниор обед с Чикенбургером,269 ₽,Комбо
Джуниор обед с Чизбургером,269 ₽,Комбо
Комбо на двоих с Воппер Роллом,559 ₽,Комбо
Комбо на двоих с Биг Кингом,459 ₽,Комбо
Окрыляющее комбо,529 ₽,Комбо
Комбо под сериальчик на троих,999 ₽,Комбо
Комбо на троих с Двойным Чизбургером,899 ₽,Комбо
Биг Комбо,1999 ₽,Комбо
Комбо на пятерых,1299 ₽,Комбо
Комбо с Воппером,299 ₽,Комбо
Комбо на двоих с Воппером,599 ₽,Комбо
Комбо Шримп Ролл + Джуниор Обед,599 ₽,Комбо
Пока все дома,899 ₽,Комбо
Комбо Сырный Джо + Джуниор Обед,559 ₽,Комбо
Большая тройка,899 ₽,Комбо
Комбо Шримп Ролл + Воппер,649 ₽,Комбо
Двойной Воппер Гриль XXL,369 ₽,Гриль меню
Двойной Биг Кинг Гриль,309 ₽,Гриль меню
Шримп Кинг,229 ₽,Новинки
Кинг креветки 15 шт.,579 ₽,Новинки
Шримп Воппер,299 ₽,Новинки
Кинг Букет «Креветки»,499 ₽,Новинки
Кинг Букет "Креветки XXL",999 ₽,Новинки
Кинг креветки 5 шт.,249 ₽,Новинки
Кинг креветки 8 шт.,349 ₽,Новинки
Кинг креветки 3 шт.,159 ₽,Новинки
King Go Креветки,239 ₽,Новинки
Двойной Воппер Гриль XXL,369 ₽,Новинки
Двойной Биг Кинг Гриль,309 ₽,Новинки
Двойной Биг Кинг,279 ₽,Новинки
Двойной Биг Кинг Сыр-Бекон,349 ₽,Новинки
Шримп Кинг,229 ₽,Креветки
Кинг креветки 15 шт.,579 ₽,Креветки
Шримп Воппер,299 ₽,Креветки
Кинг Букет «Креветки»,499 ₽,Креветки
